,FORESTS_LABEL,FORESTS_PROB,SLDA_LABEL,SLDA_PROB,MANUAL_CODE,CONSENSUS_CODE,CONSENSUS_AGREE,CONSENSUS_INCORRECT,PROBABILITY_CODE,PROBABILITY_INCORRECT
1,4,0.565,4,0.624622545,4,4,2,0,4,0
2,1,0.75,1,0.783161316,4,1,2,1,1,1
3,4,0.875,4,0.900920517,4,4,2,0,4,0
4,4,0.88,4,0.609589245,4,4,2,0,4,0
5,4,0.765,4,0.748297383,4,4,2,0,4,0
6,4,0.685,1,0.601973368,4,4,1,0,4,0
7,4,0.545,4,0.839658015,1,4,2,1,4,1
8,4,0.835,4,0.967407878,4,4,2,0,4,0
9,4,0.555,4,0.55771611,4,4,2,0,4,0
10,4,0.54,1,0.60370819,1,1,1,0,1,0
11,4,0.71,4,0.933803753,4,4,2,0,4,0
12,4,0.81,4,0.805248502,4,4,2,0,4,0
13,4,0.82,4,0.871810515,4,4,2,0,4,0
14,4,0.865,4,0.815026037,4,4,2,0,4,0
15,4,0.73,4,0.677335568,4,4,2,0,4,0
16,4,0.81,4,0.792642419,4,4,2,0,4,0
17,4,0.955,4,0.848855757,4,4,2,0,4,0
18,4,1,4,0.918555665,6,4,2,1,4,1
19,4,0.655,4,0.861646159,1,4,2,1,4,1
20,1,0.575,1,0.570065245,1,1,2,0,1,0
21,4,0.95,4,0.83840331,1,4,2,1,4,1
22,4,0.87,4,0.927751217,4,4,2,0,4,0
23,4,0.91,4,0.760422753,4,4,2,0,4,0
24,4,0.995,4,0.947969258,4,4,2,0,4,0
25,4,0.675,4,0.794226651,4,4,2,0,4,0
26,4,0.67,4,0.691130602,4,4,2,0,4,0
27,4,0.64,4,0.748751644,4,4,2,0,4,0
28,4,0.985,4,0.964242309,4,4,2,0,4,0
29,4,0.85,4,0.574698707,4,4,2,0,4,0
30,1,0.705,1,0.84270902,1,1,2,0,1,0
31,4,0.965,4,0.643588705,4,4,2,0,4,0
32,4,0.845,4,0.634093971,4,4,2,0,4,0
33,4,0.58,1,0.587521322,4,1,1,1,1,1
34,4,0.51,4,0.81582664,4,4,2,0,4,0
35,4,0.625,4,0.654038772,4,4,2,0,4,0
36,4,0.66,1,0.531158003,1,4,1,1,4,1
37,4,0.77,4,0.731169967,4,4,2,0,4,0
38,4,0.62,1,0.567898417,4,4,1,0,4,0
39,4,0.515,1,0.462602731,1,4,1,1,4,1
40,4,0.515,4,0.607628496,4,4,2,0,4,0
41,1,0.54,4,0.852271455,4,4,1,0,4,0
42,4,0.56,4,0.87570043,4,4,2,0,4,0
43,4,0.76,1,0.573377191,4,4,1,0,4,0
44,4,0.99,4,0.91296966,4,4,2,0,4,0
45,4,0.945,4,0.942993494,4,4,2,0,4,0
46,4,0.92,4,0.689724132,1,4,2,1,4,1
47,4,0.66,1,0.715030213,4,1,1,1,1,1
48,4,0.935,4,0.78163017,4,4,2,0,4,0
49,4,0.955,4,0.727404833,1,4,2,1,4,1
50,4,0.645,4,0.799433114,4,4,2,0,4,0
51,1,0.6,4,0.873623679,4,4,1,0,4,0
52,4,0.8,1,0.583288471,4,4,1,0,4,0
53,4,0.565,4,0.623612261,1,4,2,1,4,1
54,4,0.98,4,0.956826189,1,4,2,1,4,1
55,4,0.885,4,0.963136263,4,4,2,0,4,0
56,1,0.71,1,0.641238753,4,1,2,1,1,1
57,4,0.735,4,0.933300114,4,4,2,0,4,0
58,4,0.735,4,0.879606748,1,4,2,1,4,1
59,4,0.71,4,0.897917934,4,4,2,0,4,0
60,4,0.94,4,0.948405322,1,4,2,1,4,1
61,4,0.71,4,0.940675979,4,4,2,0,4,0
62,4,0.965,4,0.919676036,4,4,2,0,4,0
63,4,0.83,4,0.815840173,4,4,2,0,4,0
64,1,0.72,1,0.933361862,4,1,2,1,1,1
65,4,0.65,4,0.89840564,4,4,2,0,4,0
66,4,0.595,4,0.817556621,4,4,2,0,4,0
67,4,0.66,4,0.793563143,4,4,2,0,4,0
68,1,0.495,1,0.529930557,4,1,2,1,1,1
69,1,0.565,1,0.797655212,4,1,2,1,1,1
70,4,0.825,4,0.781353879,4,4,2,0,4,0
71,4,1,4,0.79042573,4,4,2,0,4,0
72,4,0.7,4,0.676614082,4,4,2,0,4,0
73,4,0.845,4,0.983783566,4,4,2,0,4,0
74,4,0.63,4,0.717651694,1,4,2,1,4,1
75,4,0.68,4,0.538235298,4,4,2,0,4,0
76,4,0.92,4,0.99085341,4,4,2,0,4,0
77,4,0.87,4,0.915441125,1,4,2,1,4,1
78,4,1,4,0.662346736,4,4,2,0,4,0
79,4,0.715,1,0.583688367,4,4,1,0,4,0
80,4,0.86,4,0.539609543,4,4,2,0,4,0
81,4,0.695,4,0.757946582,4,4,2,0,4,0
82,4,0.65,4,0.740604856,4,4,2,0,4,0
83,4,0.72,4,0.961172459,4,4,2,0,4,0
84,4,0.765,4,0.778884508,4,4,2,0,4,0
85,4,0.675,4,0.64289213,4,4,2,0,4,0
86,4,0.81,4,0.77404646,4,4,2,0,4,0
87,4,0.85,4,0.939681995,4,4,2,0,4,0
88,1,0.58,1,0.787838068,4,1,2,1,1,1
89,4,0.615,4,0.70085351,1,4,2,1,4,1
90,1,0.695,1,0.86304726,1,1,2,0,1,0
91,4,0.935,4,0.845632819,4,4,2,0,4,0
92,4,0.51,1,0.832174375,1,1,1,0,1,0
93,4,0.97,4,0.961947538,4,4,2,0,4,0
94,4,0.71,4,0.514244904,4,4,2,0,4,0
95,4,0.695,4,0.982585823,4,4,2,0,4,0
96,4,0.655,1,0.502181003,4,4,1,0,4,0
97,1,0.595,1,0.536589235,4,1,2,1,1,1
98,4,0.885,4,0.766848329,4,4,2,0,4,0
99,4,0.87,4,0.939937162,4,4,2,0,4,0
100,4,0.67,4,0.672083014,4,4,2,0,4,0
101,4,0.755,4,0.966790567,4,4,2,0,4,0
102,4,0.82,4,0.689039687,4,4,2,0,4,0
103,4,0.89,4,0.914023504,4,4,2,0,4,0
104,4,0.61,1,0.755642602,1,1,1,0,1,0
105,4,0.875,4,0.790069778,4,4,2,0,4,0
106,4,0.76,4,0.915199349,4,4,2,0,4,0
107,4,0.775,4,0.951042585,4,4,2,0,4,0
108,4,0.925,4,0.855670747,4,4,2,0,4,0
109,4,0.88,4,0.95780126,4,4,2,0,4,0
110,1,0.56,1,0.512992981,4,1,2,1,1,1
111,4,0.76,4,0.771462141,1,4,2,1,4,1
112,4,0.745,4,0.594177591,4,4,2,0,4,0
113,4,0.68,4,0.880380357,4,4,2,0,4,0
114,4,0.82,4,0.962269858,4,4,2,0,4,0
115,4,0.795,4,0.976994127,4,4,2,0,4,0
116,1,0.705,1,0.649869561,1,1,2,0,1,0
117,4,0.695,1,0.578769974,4,4,1,0,4,0
118,4,0.71,1,0.683958767,4,4,1,0,4,0
119,1,0.64,4,0.548024026,4,1,1,1,1,1
120,1,0.57,1,0.823926812,4,1,2,1,1,1
121,4,0.665,4,0.769080866,4,4,2,0,4,0
122,1,0.56,1,0.566883304,4,1,2,1,1,1
123,4,0.84,4,0.951433552,4,4,2,0,4,0
124,4,0.795,4,0.900041753,4,4,2,0,4,0
125,1,0.5,1,0.769851873,4,1,2,1,1,1
126,4,0.92,4,0.775472412,1,4,2,1,4,1
127,1,0.53,4,0.952468717,4,4,1,0,4,0
128,4,0.805,1,0.616349935,4,4,1,0,4,0
129,4,0.94,4,0.842409901,4,4,2,0,4,0
130,4,0.64,1,0.517832737,4,4,1,0,4,0
131,4,0.55,4,0.848454823,4,4,2,0,4,0
132,4,0.55,4,0.909634412,4,4,2,0,4,0
133,1,0.73,4,0.648069379,4,1,1,1,1,1
134,1,0.715,4,0.734869485,4,4,1,0,4,0
135,4,0.655,4,0.672766028,4,4,2,0,4,0
136,4,0.695,1,0.639499633,4,4,1,0,4,0
137,1,0.65,1,0.648982464,4,1,2,1,1,1
138,4,0.635,5,0.972124041,4,5,1,1,5,1
139,1,0.535,1,0.596745817,4,1,2,1,1,1
140,4,0.525,4,0.88868545,4,4,2,0,4,0
141,1,0.55,4,0.614938276,1,4,1,1,4,1
142,4,0.725,4,0.762630163,4,4,2,0,4,0
143,4,0.645,4,0.968985605,4,4,2,0,4,0
144,4,0.395,1,0.938702205,4,1,1,1,1,1
145,4,0.935,4,0.961176625,4,4,2,0,4,0
146,4,0.43,1,0.882239529,4,1,1,1,1,1
147,4,0.78,4,0.92381152,4,4,2,0,4,0
148,1,0.53,4,0.593356579,4,4,1,0,4,0
149,4,0.64,4,0.6419846,4,4,2,0,4,0
150,4,0.905,4,0.717953425,4,4,2,0,4,0
151,4,0.845,4,0.897381307,4,4,2,0,4,0
152,4,0.97,4,0.622305153,4,4,2,0,4,0
153,4,0.81,4,0.961373925,4,4,2,0,4,0
154,4,0.87,1,0.762375504,4,4,1,0,4,0
155,4,0.585,4,0.64091316,4,4,2,0,4,0
156,1,0.58,1,0.820422325,1,1,2,0,1,0
157,4,0.735,4,0.855785555,4,4,2,0,4,0
158,4,0.77,4,0.558906152,4,4,2,0,4,0
159,4,0.915,4,0.893375989,1,4,2,1,4,1
160,4,0.72,4,0.900819649,4,4,2,0,4,0
161,4,0.77,4,0.852068882,4,4,2,0,4,0
162,4,0.99,4,0.926432644,4,4,2,0,4,0
163,4,0.965,4,0.964061797,4,4,2,0,4,0
164,4,0.83,4,0.916984346,1,4,2,1,4,1
165,4,0.875,4,0.993145882,4,4,2,0,4,0
166,1,0.455,1,0.51237023,4,1,2,1,1,1
167,4,0.775,4,0.875529152,4,4,2,0,4,0
168,4,0.805,4,0.916517718,4,4,2,0,4,0
169,4,0.97,4,0.920951095,4,4,2,0,4,0
170,4,0.69,1,0.682585584,4,4,1,0,4,0
171,4,0.855,4,0.951199109,1,4,2,1,4,1
172,1,0.575,4,0.578466235,1,4,1,1,4,1
173,4,0.93,4,0.775445767,4,4,2,0,4,0
174,4,0.935,4,0.658450331,4,4,2,0,4,0
175,4,0.52,4,0.967131531,4,4,2,0,4,0
176,4,0.755,4,0.578969978,4,4,2,0,4,0
177,4,0.905,4,0.853256559,4,4,2,0,4,0
178,4,1,4,0.690697887,1,4,2,1,4,1
179,4,0.585,1,0.517030768,4,4,1,0,4,0
180,4,0.645,4,0.739536364,4,4,2,0,4,0
181,4,0.71,4,0.630726402,4,4,2,0,4,0
182,4,0.88,4,0.980640091,1,4,2,1,4,1
183,4,0.87,4,0.760603515,4,4,2,0,4,0
184,4,0.95,4,0.591696275,4,4,2,0,4,0
185,4,0.675,4,0.557129731,4,4,2,0,4,0
