date,title,link,category,subcat,source,code
07/10/14,RBI added net $427 million in up to one-year FX forwards in August,http://economictimes.indiatimes.com/news/economy/finance/rbi-added-net-427-million-in-up-to-one-year-fx-forwards-in-august/articleshow/44592552.cms,business,economy,economictimes,1
07/10/14,Apollo Tyres shares gain 6% as RBI hikes FII limit,http://www.financialexpress.com/news/apollo-tyres-shares-gain-6-as-rbi-hikes-fii-limit/1296115/,business,markets,financialexpress,1
07/10/14,Finance Ministry  RBI to decide on monetary policy framework by December end,http://economictimes.indiatimes.com/news/economy/policy/finance-ministry-rbi-to-decide-on-monetary-policy-framework-by-december-end/articleshow/44619955.cms,business,economy,economictimes,1
07/10/14,RBI deputy governor HR Khan cautions banks against 'complacency' on forex hedges,http://www.financialexpress.com/news/rbi-deputy-governor-hr-khan-cautions-banks-against-complacency-on-forex-hedges/1296062/,business,banking,financialexpress,1
06/10/14,Raghuram Rajan's RBI should raise interest rates to contain inflation: IMF paper,http://www.financialexpress.com/news/raghuram-rajans-rbi-should-raise-interest-rates-to-contain-inflation-imf-paper/1295932/,business,economy,financialexpress,1
06/10/14,RBI should raise rates to contain inflation: IMF paper,http://timesofindia.indiatimes.com/business/india-business/RBI-should-raise-rates-to-contain-inflation-IMF-paper/articleshow/44515702.cms,business,india-business,timesofindia,1
06/10/14,Government in talks with RBI on panel to set monetary policy with an inflation focus,http://economictimes.indiatimes.com/news/economy/policy/government-in-talks-with-rbi-on-panel-to-set-monetary-policy-with-an-inflation-focus/articleshow/44434215.cms,business,economy,economictimes,1
04/10/14,Despite inventory build-up  surge in credit flows to realty not a worry: RBI,http://www.financialexpress.com/news/despite-inventory-buildup-surge-in-credit-flows-to-realty-not-a-worry-rbi/1295404/,business,banking,financialexpress,1
02/10/14,RBI hints at flexibility in rate call; Will let consumer inflation guide policy decision,http://economictimes.indiatimes.com/news/economy/policy/rbi-hints-at-flexibility-in-rate-call-will-let-consumer-inflation-guide-policy-decision/articleshow/44032581.cms,business,economy,economictimes,1
01/10/14,RBI maintains caution on growth ,http://www.thehindu.com/business/Economy/rbi-maintains-caution-on-growth/article6462487.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
01/10/14,RBI to sell 91-day t-bills at 8.56 per cent: Poll,http://economictimes.indiatimes.com/markets/money-markets/rbi-to-sell-91-day-t-bills-at-8-56-per-cent-poll/articleshow/43975910.cms,business,markets,economictimes,1
